x,45-50,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
28.9218,56.4313,41.0587,27.1112,21.7749,18.0908,15.341,10.0333,3.3311,0.2252
28.9767,56.8169,41.4556,27.2298,21.8276,18.1475,15.3713,10.0686,3.3467,0.2255
28.9972,56.9652,41.6035,27.2743,21.8477,18.1688,15.3827,10.0823,3.3523,0.2256
29.2102,58.489,43.0948,27.7443,22.0803,18.3876,15.5025,10.2359,3.4057,0.2268
29.2652,58.8531,43.4657,27.8683,22.1479,18.441,15.5346,10.2773,3.4182,0.2272
29.3105,59.1453,43.769,27.9717,22.2063,18.4832,15.5621,10.3115,3.4283,0.2274
29.311,59.1483,43.7721,27.9728,22.2069,18.4836,15.5624,10.3119,3.4284,0.2274
29.3348,59.299,43.93,28.0273,22.2385,18.5049,15.5774,10.3298,3.4336,0.2276
29.4669,60.1191,44.797,28.3361,22.4278,18.6139,15.6739,10.4274,3.4612,0.2283
29.5474,60.6099,45.3167,28.5301,22.5559,18.6741,15.7364,10.4842,3.4775,0.2288
29.6298,61.1078,45.8392,28.7345,22.6977,18.7322,15.7953,10.5395,3.4938,0.2293
29.6773,61.3946,46.1356,28.856,22.7834,18.7647,15.8277,10.57,3.5031,0.2296
29.7056,61.5655,46.3104,28.9301,22.8354,18.7839,15.8466,10.5877,3.5087,0.2297
29.7109,61.5975,46.3429,28.944,22.8452,18.7875,15.8501,10.5909,3.5097,0.2298
29.9136,62.7927,47.5887,29.5331,23.2194,18.9262,15.9829,10.7035,3.5487,0.231
29.9444,62.9637,47.7868,29.6354,23.2738,18.9483,16.0031,10.7184,3.5546,0.2312
30.0453,63.5103,48.4652,29.9994,23.4412,19.024,16.0698,10.7624,3.5739,0.2318
30.0517,63.5451,48.5099,30.0243,23.4513,19.029,16.0742,10.7649,3.5751,0.2318
30.0956,63.7793,48.8116,30.1957,23.5176,19.0641,16.1036,10.7815,3.5835,0.232
30.1774,64.2131,49.3675,30.5236,23.6343,19.1337,16.1592,10.8086,3.5992,0.2325
30.2329,64.5059,49.7345,30.7464,23.711,19.1845,16.1976,10.8253,3.6099,0.2329
30.5423,66.1177,51.6407,32.0307,24.1864,19.5459,16.4267,10.9401,3.6714,0.2347
30.5693,66.2562,51.7979,32.1504,24.2379,19.5861,16.4484,10.9551,3.677,0.2349
30.6262,66.547,52.1247,32.4111,24.3555,19.6764,16.4955,10.9913,3.6892,0.2352
30.6707,66.7728,52.3754,32.6251,24.4562,19.7518,16.534,11.0243,3.699,0.2355
30.6728,66.7833,52.387,32.6353,24.4611,19.7554,16.5358,11.026,3.6995,0.2355
30.6754,66.7965,52.4015,32.6482,24.4673,19.7599,16.5381,11.0281,3.7001,0.2355
30.6981,66.9106,52.5273,32.7625,24.5221,19.7999,16.5584,11.047,3.7053,0.2356
30.7334,67.0862,52.7207,32.9472,24.6115,19.8634,16.5909,11.0789,3.7136,0.2358
30.967,68.0415,53.9838,34.4315,25.3639,20.3019,16.8373,11.3494,3.7781,0.2372
30.9901,68.1116,54.1116,34.5959,25.4584,20.3438,16.8649,11.3798,3.7853,0.2374
31.0148,68.1858,54.2499,34.7712,25.5658,20.388,16.8952,11.4128,3.7931,0.2375
31.0926,68.418,54.6909,35.3127,25.9458,20.5196,16.9951,11.518,3.817,0.238
31.1789,68.6797,55.1876,35.8949,26.3971,20.6514,17.1126,11.634,3.8411,0.2385
31.2745,68.9747,55.7396,36.5177,26.8122,20.7841,17.2429,11.7552,3.8646,0.2391
31.2754,68.9775,55.7447,36.5234,26.8154,20.7853,17.244,11.7563,3.8648,0.2391
31.2785,68.9871,55.7627,36.5435,26.8264,20.7895,17.2481,11.76,3.8655,0.2391
31.3078,69.0782,55.9315,36.7309,26.9215,20.8284,17.2851,11.7943,3.8721,0.2393
31.3256,69.1335,56.0334,36.8438,26.9722,20.8516,17.3066,11.8144,3.876,0.2394
31.3293,69.1451,56.0548,36.8675,26.9823,20.8565,17.3111,11.8186,3.8769,0.2394
31.6486,70.1317,57.702,38.8751,27.5581,21.2857,17.6628,12.1317,3.9407,0.2413
31.6684,70.1917,57.787,39.0003,27.5973,21.3155,17.6866,12.1509,3.9444,0.2414
31.669,70.1935,57.7895,39.004,27.5985,21.3164,17.6874,12.1514,3.9445,0.2414
